City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Constitucion,CL,-35.3333,-72.4167,52.41,76,0,12.26,clear sky
246,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.92,30,75,1.45,broken clouds
247,Lazurne,UA,46.084,32.5295,55.62,80,100,3.67,overcast clouds
248,Barabai,ID,-2.5833,115.3833,73.67,95,100,0.29,light rain
249,Darhan,MN,49.4867,105.9228,50.58,86,60,5.66,broken clouds
250,Praya,CV,14.9215,-23.5087,81.14,89,40,13.8,scattered clouds
251,Rundu,NA,-17.9333,19.7667,74.17,27,12,4.97,few clouds
252,West Bay,KY,19.3667,-81.4167,86.07,74,20,11.45,few clouds
253,Sitka,US,57.0531,-135.33,57.09,82,90,14.97,light rain
254,Spornoye,RU,50.8448,37.2913,50.02,86,100,7.43,overcast clouds
255,Santiago Del Estero,AR,-27.7951,-64.2615,70.97,51,100,13.47,overcast clouds
256,Clyde River,CA,70.4692,-68.5914,25.03,86,20,8.05,few clouds
257,Oranjemund,NA,-28.55,16.4333,54.99,79,3,19.93,clear sky
258,Tabuk,PH,17.4189,121.4443,76.89,85,33,3.51,scattered clouds
259,Richards Bay,ZA,-28.783,32.0377,67.24,80,99,15.73,light rain
260,Luanda,AO,-8.8368,13.2343,71.53,88,10,11.32,clear sky
261,Okhotsk,RU,59.3833,143.3,46.99,62,97,7.78,overcast clouds
262,Mahebourg,MU,-20.4081,57.7,68.29,68,20,13.8,few clouds
263,Mwanza,TZ,-2.5167,32.9,73.51,68,12,5.82,few clouds
264,Upington,ZA,-28.4478,21.2561,52.18,46,0,5.75,clear sky
265,Port Stanley,FK,-51.7,-57.85,41.29,72,48,10.56,scattered clouds
266,Borovichi,RU,58.3878,33.9155,40.95,76,100,10.94,overcast clouds
267,Gombong,ID,-7.6072,109.5142,74.03,87,81,1.45,broken clouds
268,Kozhva,RU,65.1073,57.0459,35.24,88,100,6.78,overcast clouds
269,Gornyye Klyuchi,RU,45.25,133.5,54.21,93,100,3.15,moderate rain
270,Ushtobe,KZ,45.2514,77.9838,46.26,35,24,7.83,few clouds
271,Faya,SA,18.3851,42.4509,66.72,30,0,4.07,clear sky
272,Sur,OM,22.5667,59.5289,84.33,67,1,9.51,clear sky
273,Nizwa,OM,22.9333,57.5333,79.7,66,3,0.13,clear sky
274,Smirnykh,RU,49.75,142.8333,54.12,70,58,1.63,broken clouds
275,Broken Hill,AU,-31.95,141.4333,47.91,57,40,21.85,scattered clouds
276,Scottsbluff,US,41.8666,-103.6672,61.03,44,75,12.66,broken clouds
277,Taoudenni,ML,22.6783,-3.9836,98.29,9,2,9.55,clear sky
278,Homer,US,59.6425,-151.5483,53.49,66,90,10.36,overcast clouds
